GA,-1,-1,4000,名詞,一般,*,*,*,*,GA,ジーエー
iGA,-1,-1,3000,名詞,一般,*,*,*,*,iGA,アイジーエー
Genetic Algorithm,-1,-1,4000,名詞,一般,*,*,*,*,Genetic Algorithm,ジェネティックアルゴリズム
SA,-1,-1,4000,名詞,一般,*,*,*,*,SA,エスエー
Simulated Annealing,-1,-1,4000,名詞,一般,*,*,*,*,Simulated Annealing,シミュレーテッドアニーリング
MOGA,-1,-1,4000,名詞,一般,*,*,*,*,MOGA,エムオージーエー
ga2k,-1,-1,4000,名詞,一般,*,*,*,*,ga2k,ジーエーツーケー
MOSA,-1,-1,4000,名詞,一般,*,*,*,*,MOSA,エムオーエスーエー
DGA,-1,-1,3000,名詞,一般,*,*,*,*,DGA,ディージーエー
PSO,-1,-1,4000,名詞,一般,*,*,*,*,PSO,ピーエスオー
NSGAII,-1,-1,4000,名詞,一般,*,*,*,*,NSGAII,エヌエスジーエーツー
NSGA-II,-1,-1,4000,名詞,一般,*,*,*,*,NSGA-II,エヌエスジーエーツー
対話型遺伝的アルゴリズム,-1,-1,3000,名詞,一般,*,*,*,*,対話型遺伝的アルゴリズム,タイワガタイデンテキアルゴリズム
遺伝的アルゴリズム,-1,-1,4000,名詞,一般,*,*,*,*,遺伝的アルゴリズム,イデンテキアルゴリズム
山登り法,-1,-1,4000,名詞,一般,*,*,*,*,山登り法,ヤマノボリホウ
確率的山登り法,-1,-1,3000,名詞,一般,*,*,*,*,確率的山登り法,カクリツテキヤマノボリホウ
強化学習,-1,-1,4000,名詞,一般,*,*,*,*,強化学習,キョウカガクシュウ
進化的画像処理,-1,-1,3000,名詞,一般,*,*,*,*,進化的画像処理,シンカテキガゾウショリ
画像処理,-1,-1,4000,名詞,一般,*,*,*,*,画像処理,ガゾウショリ
立体構造,-1,-1,4000,名詞,一般,*,*,*,*,立体構造,リッタイコウゾウ
立体構造予測,-1,-1,3000,名詞,一般,*,*,*,*,立体構造予測,リッタイコウゾウヨソク
位相構造,-1,-1,4000,名詞,一般,*,*,*,*,位相構造,イソウコウゾウ
知的照明,-1,-1,4000,名詞,一般,*,*,*,*,知的照明,チテキショウメイ
最適解,-1,-1,4000,名詞,一般,*,*,*,*,最適解,サイテキカイ
局所解,-1,-1,4000,名詞,一般,*,*,*,*,局所解,キョクショカイ
最適化,-1,-1,4000,名詞,一般,*,*,*,*,最適化,サイテキカ
並列化,-1,-1,4000,名詞,一般,*,*,*,*,並列化,ヘイレツカ
仮想化,-1,-1,4000,名詞,一般,*,*,*,*,仮想化,カソウカ
可視化,-1,-1,4000,名詞,一般,*,*,*,*,可視化,カシカ
グリッド化,-1,-1,4000,名詞,一般,*,*,*,*,グリッド化,グリッドカ
近傍固体,-1,-1,4000,名詞,一般,*,*,*,*,近傍固体,キンボウコタイ
評価関数,-1,-1,4000,名詞,一般,*,*,*,*,評価関数,ヒョウカカンスウ
適合度,-1,-1,4000,名詞,一般,*,*,*,*,適合度,テキゴウド
評価値,-1,-1,4000,名詞,一般,*,*,*,*,評価値,ヒョウカチ
設計変数,-1,-1,4000,名詞,一般,*,*,*,*,設計変数,セッケイヘンスウ
交叉,-1,-1,4000,名詞,一般,*,*,*,*,交叉,コウサ
突然変異,-1,-1,4000,名詞,一般,*,*,*,*,突然変異,トツゼンヘンイ
多点探索,-1,-1,4000,名詞,一般,*,*,*,*,多点探索,タテンタンサク
多目的,-1,-1,4000,名詞,一般,*,*,*,*,多目的,タモクテキ
多目的最適化,-1,-1,3000,名詞,一般,*,*,*,*,多目的最適化,タモクテキサイテキカ
IT用語,-1,-1,4000,名詞,一般,*,*,*,*,IT用語,アイティーヨウゴ
文献調査,-1,-1,4000,名詞,一般,*,*,*,*,文献調査,ブンケンチョウサ
文献リスト,-1,-1,4000,名詞,一般,*,*,*,*,文献リスト,ブンケンリスト
性能調査,-1,-1,4000,名詞,一般,*,*,*,*,性能調査,セイノウチョウサ
性能比較,-1,-1,4000,名詞,一般,*,*,*,*,性能比較,セイノウヒカク
多峰性,-1,-1,4000,名詞,一般,*,*,*,*,多峰性,タホウセイ
単峰性,-1,-1,4000,名詞,一般,*,*,*,*,多峰性,タンホウセイ
重要温度領域,-1,-1,4000,名詞,一般,*,*,*,*,重要温度領域,ジュウヨウオンドリョウイキ
NIRS,-1,-1,4000,名詞,一般,*,*,*,*,NIRS,ニルス
光トポグラフィ,-1,-1,4000,名詞,一般,*,*,*,*,光トポグラフィ,ヒカリトポグラフィ
iSight,-1,-1,4000,名詞,一般,*,*,*,*,iSight,アイサイト
報告,-1,-1,4000,名詞,一般,*,*,*,*,報告,報告
探索,-1,-1,4000,名詞,一般,*,*,*,*,探索,探索
問題,-1,-1,4000,名詞,一般,*,*,*,*,問題,問題
結果,-1,-1,4000,名詞,一般,*,*,*,*,結果,結果
関数,-1,-1,4000,名詞,一般,*,*,*,*,関数,関数
検討,-1,-1,4000,名詞,一般,*,*,*,*,検討,検討
個体,-1,-1,4000,名詞,一般,*,*,*,*,個体,個体
実験,-1,-1,4000,名詞,一般,*,*,*,*,実験,実験
手法,-1,-1,4000,名詞,一般,*,*,*,*,手法,手法
